sponsor_name,city
RWTH Aachen University,Aachen
Klinikum Augsburg,UK Augsburg
Charité-Universitätsmedizin Berlin,Berlin
Ruhr University Bochum,Bochum
University of Bonn,Bonn
Dresden University of Technology,Dresden
University Duisburg-Essen,Duisberg-Essen
Heinrich Heine University Düsseldorf,Düsseldorf
University Erlangen-Nuremberg,Erlangen
Goethe University,Frankfurt
University of Freiburg,Freiburg
University of Giessen,Gießen
University Hospital Giessen and Marburg,UKGM
University of Göttingen,Göttingen
Medical University Greifswald,Greifswald
Martin Luther University Halle-Wittenberg,Halle-Wittenberg
University of Hamburg,Hamburg
Hannover Medical School,Hannover
Heidelberg University,Heidelberg
Heidelberg University Hospital,UK Heidelberg
Saarland University,Homburg
Friedrich Schiller University Jena,Jena
University of Kiel,Kiel
Schleswig-Holstein University Hospital,UKSH
University of Cologne,Köln
Leipzig University,Leipzig
Otto von Guericke University Magdeburg,Magdeburg
Johannes Gutenberg University of Mainz,Mainz
Philipps-University Marburg,Marburg
University of Munich (Ludwig-Maximilians),LMU München
Technical University of Munich,TU München
University of Münster,Münster
University of Regensburg,Regensburg
Universität Rostock,Rostock
Eberhard Karls University Tübingen,Tübingen
University Hospital Tübingen,UK Tübingen
University of Ulm,Ulm
University of Witten/Herdecke,Witten/Herdecke
Julius Maximilian University of Würzburg,Würzburg
